scenario,anchor_location,selection_size,test_size,amd_rejection_rate,fixed_p_rejection_rate,fixed_q_rejection_rate,random_direction_rejection_rate,two_sided_rejection_rate,amd_p_closer_rate,random_p_closer_rate,median_bandwidth,mean_statistic
P closer,-0.3,120,120,0.8333333333333334,0.8333333333333334,0.0,0.4666666666666667,0.74,0.9933333333333333,0.58,3.123386327329272,-0.025221037074950874
No relative difference,0.0,120,120,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04,0.46,0.41333333333333333,1.2228625223554521,-0.0005862948463978725
Q closer,0.3,120,120,0.8533333333333334,0.0,0.86,0.42,0.76,0.006666666666666667,0.49333333333333335,3.7647353015832627,0.02739859532536113
